P11,P12,P13,P21,P22,P23,P31,P32,P33,P41,P42,P43,R1,R2,R3,R4
-11650175.06,13891946.91,18909732.14,-20979402.71,1729762.778,16393334.09,-14385733.18,8467907.568,20793477.08,7310434.714,13075140.3,21921682.78,23584551.42,26218655.26,24681490.15,25573193.44
-11650854.8,13889534.69,18911112.47,-20981177.53,1728677.547,16391227.15,-14386154.49,8465328.603,20794277.28,7308114.562,13076676.23,21921538.79,23584789.57,26219151.56,24681910.08,25572724.36
-11651534.69,13887122.34,18912492.38,-20982952.18,1727592.547,16389119.87,-14386575.96,8462749.563,20795077.04,7305794.515,13078212.3,21921394.32,23585029.6,26219650.66,24682327.94,25572258.4
-11652214.74,13884709.84,18913871.87,-20984726.66,1726507.778,16387012.23,-14386997.57,8460170.451,20795876.37,7303474.573,13079748.5,21921249.39,23585267.88,26220147.48,24682749.42,25571789.52
-11652892.99,13882298.93,18915256.16,-20986503.08,1725420.353,16384908.59,-14387417.46,8457592.188,20796680.71,7301153.423,13081283.19,21921109.83,23585510.16,26220649.33,24683172.55,25571324.9
-11653569.45,13879889.6,18916645.25,-20988281.44,1724330.272,16382808.93,-14387835.62,8455014.781,20797490.07,7298831.069,13082816.37,21920975.64,23585754.98,26221156.61,24683600.2,25570863.37
-11654246.07,13877480.13,18918033.92,-20990059.62,1723240.422,16380708.92,-14388253.92,8452437.299,20798298.99,7296508.82,13084349.69,21920840.99,23586000.73,26221661.84,24684024.59,25570402.52
-11654922.84,13875070.53,18919422.18,-20991837.64,1722150.803,16378608.57,-14388672.38,8449859.742,20799107.48,7294186.675,13085883.13,21920705.87,23586243.61,26222168.41,24684449.17,25569942.2
-11655599.77,13872660.78,18920810.02,-20993615.49,1721061.415,16376507.87,-14389090.98,8447282.11,20799915.53,7291864.634,13087416.71,21920570.28,23586491.97,26222672.17,24684876.19,25569478.63
-11656276.85,13870250.9,18922197.44,-20995393.18,1719972.258,16374406.83,-14389509.74,8444704.404,20800723.14,7289542.698,13088950.42,21920434.22,23586736.39,26223178.82,24685303.53,25569018.93
-11656954.09,13867840.88,18923584.44,-20997170.69,1718883.332,16372305.43,-14389928.65,8442126.623,20801530.32,7287220.866,13090484.26,21920297.69,23586982.31,26223683.87,24685728.48,25568555.46
-11657631.49,13865430.72,18924971.03,-20998948.04,1717794.636,16370203.69,-14390347.71,8439548.768,20802337.07,7284899.138,13092018.23,21920160.7,23587227.93,26224189.78,24686156.86,25568095.13
-11658309.04,13863020.43,18926357.2,-21000725.22,1716706.172,16368101.61,-14390766.92,8436970.838,20803143.37,7282577.516,13093552.33,21920023.24,23587473.22,26224693.75,24686582.26,25567633.86
-11658986.75,13860609.99,18927742.96,-21002502.23,1715617.939,16365999.17,-14391186.28,8434392.834,20803949.24,7280255.998,13095086.57,21919885.32,23587720.62,26225202.73,24687008.88,25567171.91
-11659664.61,13858199.42,18929128.29,-21004279.07,1714529.937,16363896.39,-14391605.79,8431814.755,20804754.68,7277934.584,13096620.93,21919746.93,23587966.07,26225708.57,24687435.03,25566709.37
-11660342.63,13855788.71,18930513.21,-21006055.75,1713442.166,16361793.26,-14392025.45,8429236.602,20805559.67,7275613.276,13098155.43,21919608.07,23588211.97,26226214.26,24687860.32,25566250.79
-11661020.81,13853377.87,18931897.71,-21007832.25,1712354.626,16359689.79,-14392445.26,8426658.375,20806364.24,7273292.072,13099690.06,21919468.74,23588458.2,26226720.26,24688286.77,25565788.12
